actor_id,actor_name,drama_name,character_name,role
95d043c6-9cc2-4247-a1bb-693da0929c7b,Harada Mieko,Kekkonshiki no Zenjitsu ni,Kashiwada Kanako,Main Role
35c97750-2dfa-47e2-a37e-abc28f08766c,Nishimura Motoki,4-punkan no Marigold,Isobe Kenta,Support Role
d0f0bf30-d2e1-4d86-958b-8fbe582a2c30,Tanaka Mei,Shinmai Shimai no Futari Gohan,Takagi Eri [Sachi's classmate],Support Role
d0f0bf30-d2e1-4d86-958b-8fbe582a2c30,Tanaka Mei,Konna Mirai wa Kiitenai,Kushida Yu,Support Role
d9979d7e-ab42-4a87-9f3b-76c1860692f1,Tachibana Karin,Shinmai Shimai no Futari Gohan,[Bakery clerk] (Ep. 1),Guest Role
5d2c5955-32a6-4ecf-bd1f-8ad78191a95d,Niiyama Haruno,Shinmai Shimai no Futari Gohan,"Nishino [""World Grocery Japan"" employee] (Ep. 1)",Guest Role
50df8694-630c-4991-ad09-e4e599e120f8,Aibu Saki,Doki no Sakura,Hino Sumire,Support Role
50df8694-630c-4991-ad09-e4e599e120f8,Aibu Saki,Medical Team: Lady Da Vinci no Shindan,Nitta Yukino,Support Role
50df8694-630c-4991-ad09-e4e599e120f8,Aibu Saki,Boku no Yabai Tsuma,Kitasato Anna,Support Role
50df8694-630c-4991-ad09-e4e599e120f8,Aibu Saki,Kari Kare,Toyoshima Anne,Main Role
50df8694-630c-4991-ad09-e4e599e120f8,Aibu Saki,Angel Heart,Makimura Kaori,Main Role
50df8694-630c-4991-ad09-e4e599e120f8,Aibu Saki,Ishitachi no Renai Jijo,Kawai Nana [Anesthesiologist],Support Role
50df8694-630c-4991-ad09-e4e599e120f8,Aibu Saki,Garasu no Ashi,Koda Setsuko,Main Role
79e2492d-c4e0-4214-b056-e64a5c9e53bf,Tanaka Ryuzo,Aibou Season 18,Mashiko Soei,Support Role
19993c88-2e90-4e71-bab5-797c5f02bf61,Nagano Kazuki,Million Joe,Sato Koji,Support Role
4a50c32f-6c7b-4948-8089-aba9951cc4b0,Miura Rieko,Mada Kekkon Dekinai Otoko,Nakagawa Keiko [Shinsuke's younger sister],Support Role
4a50c32f-6c7b-4948-8089-aba9951cc4b0,Miura Rieko,Yaneura no Koibito,Suganuma Kyoko,Support Role
4a50c32f-6c7b-4948-8089-aba9951cc4b0,Miura Rieko,Utsukusiki Wana - Zanka Ryoran,Kiritani Maki,Support Role
b6e3d82e-3655-4b60-b208-14c6d17e2236,Fukazawa Tatsuya,Aku no Hado,Yajima Keisuke [Iguchi's subordinate],Support Role
ebdf6ebd-2afe-4334-97a2-f88b89946e44,Tanihara Shosuke,Kaidan Botan Doro: Beauty & Fear,Yamamoto Shijo,Support Role
ebdf6ebd-2afe-4334-97a2-f88b89946e44,Tanihara Shosuke,Gisou Furin,Yoshizawa Kenji [Yoko's husband],Support Role
ebdf6ebd-2afe-4334-97a2-f88b89946e44,Tanihara Shosuke,"Fujoshi, Ukkari Gei ni Kokuru",Sasaki Makoto,Support Role
ebdf6ebd-2afe-4334-97a2-f88b89946e44,Tanihara Shosuke,Sachi no Otera Gohan,Karamaru Atsushi,Main Role
ebdf6ebd-2afe-4334-97a2-f88b89946e44,Tanihara Shosuke,Hanzai Shokogun Season 2,Kaburagi Mamoru,Main Role
ebdf6ebd-2afe-4334-97a2-f88b89946e44,Tanihara Shosuke,Hanzai Shokogun,Kaburagi Mamoru,Support Role
ebdf6ebd-2afe-4334-97a2-f88b89946e44,Tanihara Shosuke,Doctor Chousahan,Hanaoka Akira [MAIC],Main Role
ebdf6ebd-2afe-4334-97a2-f88b89946e44,Tanihara Shosuke,Otona Joshi,Kurita Junichi,Support Role
ebdf6ebd-2afe-4334-97a2-f88b89946e44,Tanihara Shosuke,Genkai Shuraku Kabushiki Kaisha,Takigawa Yu,Main Role
ebdf6ebd-2afe-4334-97a2-f88b89946e44,Tanihara Shosuke,Keibuho Sugiyama Shintaro ~ Kichijoji-sho Jiken File,Sugiyama Shintarou,Main Role
0220b587-2c39-4e0f-8754-34f89b085eeb,Taniguchi Masashi,Re: Follower,Goto Akira,Support Role
0220b587-2c39-4e0f-8754-34f89b085eeb,Taniguchi Masashi,Kamen Rider Amazons Season 2,Jin / Amazon Alpha,Support Role
0220b587-2c39-4e0f-8754-34f89b085eeb,Taniguchi Masashi,Kamen Rider Amazons,Takayama Jin / Kamen Rider Amazon Alpha,Main Role
b9d61c9a-75fc-47d7-b7a4-974550253c16,Nishioka Tokuma,Rika,Hanayama Daijiro [Oya's uncle],Support Role
