drama_id,drama_name,native_name,year,synopsis,genres,tags,director,sc_writer,country,type,tot_eps,ep_duration,start_dt,end_dt,aired_on,org_net,tot_user_score,tot_num_user,tot_watched,content_rt,rank,popularity
da882d8e05fa275ad0dfa2c1128f7760053d6c7ad70ef53e3b51b4ee6b479afc,Heart Way,하트웨이,2021,"Si Woo, the female lead, suddenly gains superpowers one day: if you share the Subway menu, you can hear the persons heart. The title of the work was created by combining the English word Hear and Subways Way to contain the same content.","Romance,  Youth","Student Female Lead, Student Male Lead, School Setting, Teenager Female Lead, Teenager Male Lead, Short Length Series, Miniseries, High School, Web Series",,,South Korea,Drama,8,720,30/11/21,23/12/21,Tuesday,Naver TV Cast,7.4,58,476,Not Yet Rated,50884,11098
f2ac9303c7fa7fb917b3091914112d12249a67117b829beeb587b55832a63be6,Show Window: The Queen's House,쇼윈도:여왕의 집,2021,"From the outside, Han Sun Joos life has always appeared to be nothing short of perfect. Born into a wealthy family, Sun Joo and her younger brother, Han Jung Won, were raised without a care in the world. Now as adults, Jung Won has grown up extraordinarily warm-hearted, allowing him to maintain an unwavering sense of optimism while Sun Joo has become the ideal married woman, with a gorgeous home, a devoted husband and two beautiful children. Unfortunately, Sun Joos perfect life is on the verge of collapse.Absolutely penniless when he married Sun Joo, Shin Myung Seop has spent the entirety of his married life slowly climbing the ranks of his mother-in-laws company, the LaReine Group. Now well-established in his career, Myung Seop appears to be a devoted husband and father, yet when he meets Yoon Mi Ra, things take a complicated turn. Unable to hide his growing feelings for Mi Ra, Myung Seop pursues her and is pleased to find she reciprocates his feelings. Soon entangled in a secret affair, Myung Seop and Mi Ra live in constant fear of discovery. ","Thriller,  Mystery,  Romance,  Drama","Betrayed By A Lover, Mistress Female Lead, Married Life, Extramarital Affair, Brother-Sister Relationship, Protective Brother, Dysfunctional Family, Rich Family, Family Relationship, Deception","['Kang Sol', 'Park Dae Hee']",['Han Bo Kyung'],South Korea,Drama,16,3900,29/11/21,18/1/22,"Monday, Tuesday",Channel A Viki,7.6,739,3119,15+ - Teens 15 or older,4654,3576
f68c455869d073263c434cd7e866d72d2b7e1b93cf334a7d789bee749c799beb,Mr. Lee,미스터LEE,2021,"Six friends gathered at Eunjoo and Kyungho's engagement party. In a strange vibe flowing...the groom-to-be dies. And, a detective 'Mr. LEE' who doesn't look like a detective, appears. All five are suspects. I can watch the CCTV footage of the crime scene?!","Mystery,  Romance","Investigation, Detective Fiction, Detective Male Lead, Secret, Miniseries, Death, Web Series, Murder",,,South Korea,Drama,5,1200,29/11/21,27/12/21,Monday,Daum Kakao TV,7.1,8,229,15+ - Teens 15 or older,54627,15845
86e123b3320433910b5d0c29578e1247690cdaa6ca262a6478722c9cff304cf2,Mobile Phone Romance in Daegu,모바일폰 로맨스 in 대구,2021,"It is 1821 in the Joseon Dynasty, a man is searching for his fiance who has unfortunately disappeared. One day, he accidentally discovers a mobile phone that has fallen from the sky which takes him to Daegu in the year 2021, where he will meet a young woman who looks exactly like his fiance.",Romance,"Web Movie, Short Film, Time Travel",,,South Korea,Movie,,780,,,,,7.4,13,42,Not Yet Rated,49556,99999
7d067742f1cc4de53370c393eb77ff48c63c49f7bcf15e911fa607b10ef23a05,One Ordinary Day,어느 날,2021,"A drama that explores the criminal justice system from an extremely popular perspective through the fierce story of two men surrounding the murder of a woman. Hyun Soo, an ordinary college student, suddenlybecomes the primarysuspect in a murder case. Shin Joong Han is the only lawyer willing to help Kim Hyun Soo. Having just barely passed law school, Shin Joong Han's involvement in Kim Hyun Soo's case eventuallytakes his unremarkable life to new heights.(Sources: Naver, MyDramaList)~~ Remake of the British TV series ""Criminal Justice"" [2008].","Thriller,  Mystery,  Law,  Crime","Murder, Investigation, Brief Nudity, Sexual Content, Death, Lawyer Male Lead, Drug Usage, Trial, Violence, Suspense",['Lee Myung Woo'],['Kwon Soon Gyu'],South Korea,Drama,8,4200,27/11/21,19/12/21,"Saturday, Sunday",ViuTV,8.5,7209,23126,18+ Restricted (violence & profanity),490,540
88cd2a2f3af1f1d87e627590320cd85c6ead0f4fada1b40f5cbe4dd9970cf6dc,Friend and Kiss,친구와 키스,2021,Yeo Bin had a dream that Young Jae confessed to her while carrying someone on his back but why does it seem so real?,Romance,"Best Friends' Relationship, Short Length Series, Steamy Kiss, Miniseries, Friends To Lovers, Web Series, Friendship",,,South Korea,Drama,2,360,25/11/21,25/11/21,,,7.5,122,335,Not Yet Rated,48265,13250
1d9644404d9b31bee648b300af9574c7ede42d9dd9e02b593e0b781ba510cca8,School 2021,학교 2021,2021,"""School 2021"" is the story of students attending a specialized high school and seeking their ambitions, rather than going off to college. It will delve into how these students learn about love, friendship, true passions, and growing up in an intense environment.Kong Ki Joon is a hardworking student who assumes work and school simultaneously. He is a person who loses his 11-year-old dream of taekwondo due to injury and is unsure of knowing what to do. Jung Young Joo is a transfer student with a hidden story and a past connection to Kong Ki Joon. Jin Ji Won, a confident high school girl with a solid dream, confidently communicates her opinion though she is in conflict with her mother about going to college. Kang Seo Young is a gifted student who is preparing, by herself, for college entrance exams. She is aiming to enter one of the top five universities in Korea.Lee Kang Hoon is a teacher who values a work-life balance. He gradually grows along with his students. Koo Mi Hee is the chairman of the board. Lee Jae Hee is the twin sister of Lee Jae Hyuk. She is a quiet person and strives to make many new changes. Lee Jae Hyuk is Lee Jae Hee's twin. Unlike Jae Hee, Jae Hyuk is the person who receives support from the foundation.","Romance,  Youth,  Drama,  Melodrama","High School, Friendship, Mature Female Lead, Coming Of Age, Innocent Male Lead, Hardworking Male Lead, First Love, Multiple Mains, Taekwondo, Bankruptcy",['Kim Min Tae'],"['Dong Hee Seon', 'Jo Ah Ra']",South Korea,Drama,16,3780,24/11/21,13/1/22,"Wednesday, Thursday",KBS2 Viki,7.9,6205,20529,15+ - Teens 15 or older,2486,629
823b475757f0365d02e3a73115a4d348f9afa6f5dab16859a12ac87627883621,Shadow Beauty,그림자 미녀,2021,"Because of her looks, Koo Ae Jin is bullied at school and even insulted by strangers. But after school, she leads a secret life: with heavy makeup and hours of photo editing, she lives as Genie, a social media star with 770K followers. While Koo Ae Jin is toeing the line between her true self and Genie, what will happen when a boy from school discovers her secret?","Thriller,  Psychological,  Romance,  Drama","Hidden Identity, Double Identity, Social Media, School Bullying, Suspense, School Setting, Web Series, Adapted From A Webtoon, Student Supporting Character, Student Female Lead",,,South Korea,Drama,13,1200,20/11/21,29/12/21,"Wednesday, Saturday",Daum Kakao TV Viki,8,6291,13986,15+ - Teens 15 or older,2041,997
294ebacead0c8c634a929fcb0379a082fe557c4fe5f03dbcfd873fe28894ce9e,We Are Alone,우리는 혼자입니다,2021,"'We Are Alone' is an ultra-short drama about the daily life, dreams, and love of a 27-year-old college student Jung-woo, a single-person household, reflecting the era in which we have entered a hyper-individualistic society.","Romance,  Drama","Short Length Series, Lonely Male Lead, Miniseries, Friends To Lovers, Web Series, Friendship",,,South Korea,Drama,9,300,20/11/21,18/12/21,"Tuesday, Saturday",Naver TV Cast,6.8,7,126,Not Yet Rated,58936,99999
70e324fc335f004154d56ab31636061237c45d3041d7dc5c26c3345ba0a1def9,Hellbound,지옥,2021,"A story about otherworldly beings who appear out of nowhere to issue a decree and condemn individuals to hell. These supernatural events cause great mayhem and enable the religious group The New Truth to grow in influence. A few people, however, become suspicious about its activities and begin investigating its involvement in mysterious events.","Mystery,  Horror,  Drama,  Supernatural","Dark Fantasy, Propaganda, Supernatural Phenomena, Adapted From A Webtoon, Investigation, Suspense, Religion, Cult, Fantasy, Graphic Violence",,['Choi Gyu Seok'],South Korea,Drama,6,3000,19/11/21,19/11/21,Friday,Netflix,7.5,16546,31016,18+ Restricted (violence & profanity),5315,361
