Name,Episodes,Released Year,Language,Rating,Ranking
Lobbyist,24,2007,Korean,7.2,7492
"Senpai, Danjite Koidewa!",8,2022,Japanese,7.2,7597
That Man Oh Soo,16,2018,Korean,7.0,8372
Gintama 2: Yonimo Kimyo na Gintama-chan,3,2018,Japanese,7.7,3666
Rule the World,45,2017,Chinese,7.8,3243
Kamen Rider Drive,48,2014,Japanese,8.0,1967
"The Great King, Sejong",86,2008,Korean,7.8,3324
Young and Beautiful,42,2021,Chinese,7.1,7865
Puzzle,10,2008,Japanese,7.0,8180
1 Litre no Namida,11,2005,Japanese,9.0,40
Clean with Passion for Now,16,2018,Korean,7.7,4141
Scent of Love,14,2022,Chinese,7.6,4603
YG Future Strategy Office,8,2018,Korean,7.2,7692
The Outsiders,20,2004,Taiwanese,7.4,6538
Couple of Mirrors,12,2021,Chinese,8.2,1205
Ten Years Late,39,2019,Chinese,7.5,5564
Love Scenery,31,2021,Chinese,8.4,707
Rewriting Destiny,24,2022,Chinese,7.5,5334
Voice,16,2019,Thai,7.7,4139
Tale of the Ancient Snake,30,2022,Chinese,7.1,8108
My Love Eun Dong,16,2015,Korean,7.8,3531
"Never Give Up, Dodo",10,2013,Chinese,7.5,5829
Ultraman Z,25,2020,Japanese,7.8,3173
The Merchant: Gaekju 2015,41,2015,Korean,7.2,7660
Fairy From the Painting,24,2022,Chinese,7.5,5798
Prince Coffee Lab,38,2018,Chinese,7.5,5846
Oh My General,60,2017,Chinese,7.9,2643
Song of Phoenix,72,2017,Chinese,7.4,6391
Solomon's Perjury,12,2016,Korean,8.2,1344
Best Wedding,16,2014,Korean,7.1,8059
Kaseifu no Mita,11,2011,Japanese,7.9,2396
Love Rain,20,2012,Korean,7.6,4587
I Started Following Romance,10,2019,Korean,8.0,2273
Woman,11,2013,Japanese,8.2,1414
My Story for You,48,2018,Chinese,7.6,5145
Kiss Me,20,2015,Thai,8.2,1340
The Spring Day of My Life,16,2014,Korean,7.6,4565
Daisy Luck,10,2018,Japanese,7.5,5442
Spring Waltz,20,2006,Korean,7.4,6043
Kiss x Kiss x Kiss ~ Perfect Scandal ~,12,2022,Japanese,7.1,8120
"To Sir, With Love",17,2022,Thai,8.3,1027
Seirei no Moribito,4,2016,Japanese,7.9,2988
Maya Tawan,13,2013,Thai,7.4,6033
Fukigen na Kajitsu,7,2016,Japanese,7.1,7919
Wild Chives and Soy Bean Soup: 12 Years Reunion,26,2014,Korean,7.2,7705
I Fell in Love by Accident,12,2020,Chinese,7.3,7062
Kill It,12,2019,Korean,8.2,1420
Spring Love,14,2013,Taiwanese,6.9,8464
My Dear Loser: Happy Ever After,12,2017,Thai,7.4,6159
The Guest,16,2018,Korean,8.7,218
Gye Baek,36,2011,Korean,7.6,4529
Subete ga F ni Naru,10,2014,Japanese,7.7,3791
Beyond Prescriptions,12,2021,Chinese,7.1,7822
Rosy Lovers,52,2014,Korean,7.3,7240
Even Sun,6,2022,Thai,6.9,8612
Lost Track of Time,30,2022,Chinese,7.8,3466
Happy Noodle,40,2013,Chinese,7.5,5207
All About Secrets,24,2017,Chinese,7.4,6135
The Dance of the Storm,43,2021,Chinese,7.6,4480
Big Man,16,2014,Korean,7.2,7448
Khun Samee Karmalor Tee Rak,14,2012,Thai,7.3,7041
The Sweetest Secret,24,2021,Chinese,7.4,5942
"Sore wa, Totsuzen, Arashi no you ni..",10,2004,Japanese,6.8,8703
Dao Kiao Duen,11,2013,Thai,7.5,5932
Vice Versa,12,2022,Thai,8.0,2330
Well-Intended Love,20,2019,Chinese,7.5,5622
The Sleuth of Ming Dynasty,48,2020,Chinese,8.5,528
Honou no Tenkousei REBORN,8,2017,Japanese,7.4,6350
Ikebukuro West Gate Park,11,2000,Japanese,8.0,2123
Mr. Sunshine,24,2018,Korean,8.9,94
Judge vs. Judge,32,2017,Korean,7.7,3856
My Girlfriend,28,2019,Chinese,7.5,5268
Jigoku Sensei Nube,10,2014,Japanese,7.3,7150
Twenty Years Old,4,2014,Korean,7.7,4076
Saki ni Umareta Dake no Boku,10,2017,Japanese,7.9,2495
Watashitachi wa Douka Shiteiru,8,2020,Japanese,8.2,1372
When I See You Again,20,2015,Taiwanese,7.5,5931
Siege in Fog,50,2018,Chinese,7.6,4915
Rak Rai,40,2017,Thai,7.3,6863
Woody Sambo,19,2008,Taiwanese,6.9,8587
Secret,16,2013,Korean,8.4,782
Funouhan,4,2017,Japanese,7.4,6149
Wednesday 3:30 PM,15,2017,Korean,7.9,2776
Rikokatsu,10,2021,Japanese,7.7,3758
The Killer's Shopping List,8,2022,Korean,8.1,1779
Boku no Ita Jikan,11,2014,Japanese,8.5,435
Devil Lover,17,2015,Thai,7.4,6094
55:15 Never Too Late,16,2021,Thai,7.9,2448
Fall in Love,18,2022,Chinese,7.6,4425
A Little Love Song,24,2019,Chinese,7.5,5428
Better a Lie Than a Truth,18,2022,Chinese,7.7,3854
Galcir,11,2006,Japanese,6.9,8607
Silent,11,2022,Japanese,8.5,441
Welcome to Wedding Hell,12,2022,Korean,7.1,8105
Mirror: A Tale of Twin Cities,43,2022,Chinese,7.5,5562
Fuujinshi,9,2022,Japanese,7.8,3572
Invisible,10,2022,Japanese,7.6,5110
Love Cells,15,2014,Korean,7.0,8138
Unicorn ni Notte,10,2022,Japanese,7.6,4641
Kaitou Sentai Lupinranger VS Keisatsu Sentai Patranger,51,2018,Japanese,7.9,2698
Two Souls in One,30,2021,Chinese,7.6,4467
My 20th Twenty,12,2023,Korean,7.2,7579
Shards of Her,9,2022,Taiwanese,8.2,1426
Limit,12,2013,Japanese,7.7,4140
My Dear Guardian,40,2021,Chinese,7.9,2646
Sign,20,2011,Korean,7.8,3627
My Country: The New Age,16,2019,Korean,8.4,757
To Be a Better Man,42,2016,Chinese,7.9,2704
Perfect Partner,51,2020,Chinese,7.7,4083
Boukyaku no Sachiko,12,2018,Japanese,7.6,4765
Roy Leh Sanae Rai,14,2015,Thai,7.2,7592
"Dragon Day, You're Dead",20,2017,Chinese,7.7,4228
"Work Later, Drink Now Season 2",12,2022,Korean,8.1,1563
"Hello, Me!",16,2021,Korean,8.0,2335
Dae Jang Geum Is Watching,16,2018,Korean,7.5,5253
"Rich Man, Poor Woman",11,2012,Japanese,8.1,1698
Fall for You,20,2022,Korean,8.0,2211
Love Under the Full Moon,24,2021,Chinese,7.9,2926
"Cheer Up, Mr. Kim!",124,2012,Korean,7.3,7014
Consummation,24,2020,Chinese,7.6,4468
Ghost,20,2012,Korean,8.2,1176
The Count of Monte-Cristo: Great Revenge,9,2018,Japanese,8.0,2143
When I Fly Towards You,24,2023,Chinese,9.0,39
Ore no Ie no Hanashi,10,2021,Japanese,8.1,1594
Romance with Blind Master,15,2023,Chinese,7.5,5634
Aoi Honoo,11,2014,Japanese,7.7,4021
I Will Never Let You Go,51,2019,Chinese,7.7,4082
Stars Falling From the Sky,20,2010,Korean,7.7,3829
Never Give Up,40,2023,Chinese,7.8,3298
Sa Kao Duen,15,2018,Thai,7.6,4855
Soot Sanaeha,16,2009,Thai,7.8,3517
Serenade of Peaceful Joy,69,2020,Chinese,7.7,3753
Miss Captain,24,2022,Chinese,7.3,6928
Haeundae Lovers,16,2012,Korean,7.1,8073
Abarenbo Mama,10,2007,Japanese,7.0,8141
Justice,32,2019,Korean,7.8,3474
A Man in a Veil,105,2020,Korean,7.3,7228
38 Task Force,16,2016,Korean,8.1,1705
Because This Is My First Life,16,2017,Korean,8.4,604
Beloved Enemy,15,2017,Chinese,7.2,7642
Zenra Meshi,12,2023,Japanese,7.0,8168
If I Can Love You So,46,2019,Chinese,7.5,5925
Border Town Prodigal,50,2016,Chinese,7.4,5938
My Heroic Husband,36,2021,Chinese,8.2,1279
Sixteen Shoukougun,8,2020,Japanese,7.7,3961
Jimi ni Sugoi! Koetsu Garu Kono Etsuko,10,2016,Japanese,8.1,1729
Beyond the Clouds,16,2014,Korean,7.6,4867
The Interest of Love,16,2022,Korean,6.9,8517
Miracle,14,2022,Korean,7.5,5878
GoGo Sentai Boukenger,49,2006,Japanese,7.6,4479
Reibai Tantei Jozuka Hisui,5,2022,Japanese,7.6,4392
Saka no Tochu no Ie,6,2019,Japanese,8.3,864
Snow White,16,2004,Korean,6.9,8609
Wild Heroes,10,2015,Japanese,7.7,4338
The Romance of Hua Rong Season 2,24,2022,Chinese,7.9,2960
The Glory of Tang Dynasty,60,2017,Chinese,7.8,3020
The Magical Women,20,2023,Chinese,7.7,4148
Absolute Boyfriend,13,2012,Taiwanese,7.0,8351
"Master, Wait a Moment",26,2021,Chinese,7.7,4257
Game Sanaeha,14,2018,Thai,8.1,1585
Senior Secret Love: My Lil Boy 2,8,2016,Thai,7.2,7298
Boarding House #24,12,2014,Korean,7.3,6642
Rikon Shiyou Yo,9,2023,Japanese,7.2,7346
Blue Birthday,16,2021,Korean,8.2,1287
Fated to Love You,24,2008,Taiwanese,7.9,2839
Queen of the Game,20,2006,Korean,7.2,7267
The Imperial Doctress,50,2016,Chinese,7.8,3050
Meloholic,10,2017,Korean,7.4,6498
Mai Sin Rai Fai Sawart,16,2015,Thai,7.1,8111
Obstetrics and Gynecology Doctors,16,2010,Korean,7.6,4681
Otona Koukou,8,2017,Japanese,7.1,7828
Shiawase ni Narou yo,11,2011,Japanese,7.1,7826
My Bossy Wife Season 2,28,2022,Chinese,7.7,3932
Kabe Sa Doujin Sakka no Neko Yashiki-kun wa Shouninyokkyuu wo Kojiraseteiru,8,2022,Japanese,7.5,5737
Begin Again,35,2020,Chinese,8.2,1145
U-Prince: The Ambitious Boss,5,2017,Thai,7.6,4971
Boys Over Flowers,25,2009,Korean,7.5,5252
Love You Self-Evident,20,2023,Chinese,7.2,7494
Mother Game,10,2015,Japanese,7.8,3404
A Love So Romantic,32,2020,Chinese,7.7,3770
The Real Has Come!,50,2023,Korean,7.7,4002
Pasta,20,2010,Korean,7.6,4667
Stand or Fall,32,2023,Chinese,7.8,3541
Busu no Hitomi ni Koishiteru,8,2019,Japanese,7.4,6110
Otenki Onee-san,9,2013,Japanese,7.5,5809
Smile,11,2009,Japanese,7.7,4170
Sad Love Story,20,2005,Korean,7.9,2849
Second Husband,150,2021,Korean,7.6,4777
Futatsu no Spica,7,2009,Japanese,7.0,8366
Okane no Kireme ga Koi no Hajimari,4,2020,Japanese,7.7,4049
Master's Delicacies,6,2022,Korean,7.3,6892
Swordsman,42,2013,Chinese,7.7,4358
90 Days of Love,16,2006,Korean,6.9,8625
Mama Gogo,12,2022,Thai,8.1,1785
Hope or Dope 2,8,2022,Korean,7.9,2516
Till the End of the Moon,40,2023,Chinese,8.6,313
Once Again,100,2020,Korean,8.6,352
Tinted With You,8,2021,Korean,7.2,7602
"Alice, the Final Weapon",8,2022,Korean,7.8,3414
Radiation House,11,2019,Japanese,8.2,1400
Suspicious Partner,40,2017,Korean,8.3,1060
Lhong Ngao Jun,18,2006,Thai,7.1,8058
My Secret Romance,13,2017,Korean,7.6,4705
Please Be Married,30,2021,Chinese,7.5,5744
Immortal Samsara: Part 1,38,2022,Chinese,8.4,759
Mr. Right,45,2018,Chinese,7.4,6147
Hero,9,2012,Korean,7.3,6918
Make My Heart Smile,24,2021,Chinese,8.0,2291
Mr. Bodyguard,24,2015,Chinese,6.9,8561
Momin's Room,7,2016,Korean,6.8,8783
The Naked Director Season 2,8,2021,Japanese,7.6,5147
Cleaning Up,16,2022,Korean,7.6,4941
"Love, Timeless",15,2017,Taiwanese,7.6,5072
Mortal Housewife,24,2022,Chinese,7.7,4325
Hungry!,11,2012,Japanese,7.4,6395
Cruel City,20,2013,Korean,8.5,410
Unasked Family,123,2019,Korean,7.5,5668
My Sweet Dear,8,2021,Korean,7.2,7756
From Me to You,12,2023,Japanese,7.8,3458
Youth Should Be Early,47,2021,Chinese,7.2,7668
Train,12,2020,Korean,8.4,723
Do You Like Brahms?,16,2020,Korean,8.1,1875
Fuma no Kojiro,13,2007,Japanese,6.9,8461
The Crown Princess,12,2018,Thai,8.1,1635
Soratobu Kouhoushitsu,11,2013,Japanese,8.1,1526
Ancient Love Poetry,49,2021,Chinese,8.6,403
Chapter of Green,12,2021,Thai,7.0,8245
High Kick! The Revenge of the Short Legged,123,2011,Korean,8.1,1799
Payback: Money and Power,12,2023,Korean,7.7,3684
Oi Handsome!,8,2022,Japanese,7.8,3012
HIStory5: Love in the Future,20,2022,Taiwanese,7.2,7447
Prom Pissawat,16,2020,Thai,7.5,5603
Game Rak Ao Keun,22,2019,Thai,7.5,5742
Dong Yi,60,2010,Korean,8.5,533
DOCTORS Saikyou no Meii Season 3,9,2015,Japanese,7.8,3249
Best Mistake Season 2,16,2020,Korean,7.7,4239
Live Up to Your Name,16,2017,Korean,8.2,1219
Assembly,20,2015,Korean,7.6,5044
Saretagawa no Blue,8,2021,Japanese,7.0,8367
Love You My Arrogance,8,2020,Thai,7.4,6447
Astrophile,18,2022,Thai,7.5,5408
Once Upon a Time in Saengchori,20,2010,Korean,7.5,5922
Nine: Nine Times Time Travel,20,2013,Korean,8.3,850
My Decoy Bride,24,2023,Chinese,7.7,3878
Legend of Yunze,12,2021,Chinese,7.7,4221
Witch's Romance,16,2014,Korean,7.9,2470
Temptation of an Angel,21,2009,Korean,7.2,7514
Reply 1994,21,2013,Korean,8.1,1837
Sunshine Angel,22,2011,Taiwanese,7.0,8312
True Ending,10,2019,Korean,7.1,7866
The Long Night,12,2020,Chinese,8.5,474
Air City,16,2007,Korean,7.0,8223
Dear Little Mermaid,24,2022,Chinese,7.5,5195
20th Century Boy and Girl,32,2017,Korean,7.8,3267
Be Loved in House: I Do,12,2021,Taiwanese,7.8,3032
Fragile,10,2016,Japanese,7.6,5026
Imawa no Kuni no Alice Season 2,8,2022,Japanese,8.8,110
Awaken,16,2020,Korean,8.2,1153
Higanbana: Keishicho Sosa Nana ka,10,2016,Japanese,7.7,4158
Road to Rebirth,46,2021,Chinese,7.5,5393
The Return of Iljimae,24,2009,Korean,7.5,5364
A Journey to Meet Love,52,2019,Chinese,7.9,2550
Shitteru Waifu,11,2021,Japanese,7.8,3185
Stranger Season 2,16,2020,Korean,8.5,405
Kamen Rider Zero-One,45,2019,Japanese,7.9,2669
Missing You,21,2012,Korean,7.9,2398
Two Cops,32,2017,Korean,7.8,3137
"Soredemo, Ikite Yuku",11,2011,Japanese,8.5,494
Black Dog,16,2019,Korean,8.2,1413
Shining for One Thing,24,2022,Chinese,8.6,381
Boku no Satsui ga Koi wo Shita,10,2021,Japanese,7.4,6403
Full House,20,2014,Thai,8.4,810
Vacation,4,2006,Korean,7.2,7324
Soul,10,2009,Korean,7.2,7463
Kono Otoko wa Jinsei Saidai no Ayamachidesu,10,2020,Japanese,7.0,8328
Dear My Room,12,2018,Korean,7.7,4031
Please Love Me,24,2019,Chinese,7.6,4615
Detective Husband I've Never Met,28,2022,Chinese,7.3,6854
Hajimete Koi wo Shita Hi ni Yomu Hanashi,10,2019,Japanese,8.0,2119
Are You Ready? Hey You Girl!,5,2018,Japanese,7.3,6999
Happy 300 Days,15,2013,Taiwanese,7.6,4410
Longing for You,14,2023,Korean,7.6,4550
Sweet Room,4,2009,Japanese,6.8,8721
IQ246: Kareinaru Jikenbo,10,2016,Japanese,7.5,5875
"Persevere, Goo Hae Ra",12,2015,Korean,7.2,7268
Make a Wish,24,2021,Chinese,8.2,1449
Kakegurui Twin,8,2021,Japanese,7.9,2783
Drama Go Go Go,28,2012,Chinese,7.0,8251
Real:Time:Love Season 3,8,2020,Korean,7.6,4540
The Rose,24,2003,Taiwanese,7.2,7675
Ima kara Anata wo Kyouhaku Shimasu,9,2017,Japanese,7.6,5159
Erai Tokoro ni Totsuide Shimatta!,9,2007,Japanese,7.4,6291
Friend Zone,12,2018,Thai,7.2,7315
Madame Antoine,16,2016,Korean,7.3,7001
Come and Hug Me,32,2018,Korean,8.3,853
My Bratty Princess,33,2005,Chinese,7.9,2375
A Taiwanese Tale of Two Cities,20,2018,Taiwanese,7.4,5983
Autumn Tale,16,2000,Korean,7.7,3972
Shiroi Haru,11,2009,Japanese,7.9,2834
Switch: Change the World,32,2018,Korean,7.8,3351
"Fight Hard, Love Harder",4,2019,Korean,7.4,6555
Two Weeks,16,2013,Korean,8.5,566
Binary Love,24,2022,Chinese,7.9,2900
I Cannot Hug You Season 2,16,2018,Chinese,7.6,4533
Princess at Large 3,15,2020,Chinese,7.4,5959
Love After School,8,2017,Korean,7.8,3062
Destined,40,2023,Chinese,8.5,536
The Last Princess,35,2023,Chinese,7.4,6533
Growing Pain,40,2019,Chinese,8.1,1925
Baby-faced Beauty,20,2011,Korean,7.0,8205
Runaway - Aisuru Kimi no Tame ni,9,2011,Japanese,8.0,2136
Six Love Story,4,2018,Korean,7.6,4524
Perfect and Casual,24,2020,Chinese,8.3,911
0 Goshitsu no Kyaku,22,2009,Japanese,7.1,7918
Risky,7,2021,Japanese,7.0,8290
The Bad Kids,12,2020,Chinese,8.6,310
Miss Lee,16,2019,Korean,7.3,7236
Batsuichi ga Moteru nante Kiitemasen,6,2023,Japanese,7.1,8043
The Journey of Flower 2015,32,2015,Chinese,7.2,7369
GOLD,11,2010,Japanese,7.4,6615
Ex-Girlfriend Club,12,2015,Korean,7.6,5020
Star and Sky: Sky in Your Heart,8,2022,Thai,7.6,4725
Be Together,35,2021,Chinese,7.3,7144
Water Boyy,14,2017,Thai,7.0,8447
The Mermaid Prince: The Beginning,10,2020,Korean,7.8,3109
Sutekina Sen Taxi,10,2014,Japanese,8.0,1963
Oum Ruk,14,2006,Thai,7.2,7565
Under the Microscope,14,2023,Chinese,8.1,1642
Smoking Gun - Ketteiteki Shoko,11,2014,Japanese,7.3,7067
My Dear Lady,16,2020,Chinese,7.7,3712
Step by Step: Uncut Version,12,2023,Thai,7.6,4929
UMG,12,2023,Thai,7.3,6977
"Mitaraike, Enjou Suru",8,2023,Japanese,7.8,3434
Meow Ears Up,8,2022,Thai,6.9,8459
Uchi no Otto wa Shigoto ga Dekinai,10,2017,Japanese,7.8,3587
Live Your Life,40,2021,Chinese,7.6,4451
Kamisama Mou Sukoshi Dake,12,1998,Japanese,7.9,2667
Forever Love,29,2022,Chinese,7.3,7157
The Palace: The Lock Heart Jade,39,2011,Chinese,7.7,3807
Voice,16,2017,Korean,8.5,501
Yuusha Yoshihiko to Maou no Shiro,12,2011,Japanese,8.0,2272
Immortal Classic,20,2012,Korean,7.3,6897
Fukou-kun wa Kiss Suru Shikanai!,8,2022,Japanese,7.7,3939
That Love Comes,12,2010,Taiwanese,6.9,8451
Tra Barb See Chompoo,24,2018,Thai,7.7,3903
100-manen no Onna-tachi,12,2017,Japanese,8.0,2078
Dorokei,10,2018,Japanese,7.8,3087
Tonhon Chonlatee,10,2020,Thai,6.9,8511
Hanazakari no Kimitachi e,12,2007,Japanese,8.2,1246
Falling for Do Jeon,6,2015,Korean,7.1,7976
Reaching for the Stars,22,2005,Taiwanese,7.0,8156
Hua Jai Rua Puang,20,2013,Thai,7.5,5370
Operation: Special Warfare,35,2022,Chinese,8.1,1731
The Great Ruler,48,2020,Chinese,7.7,3943
Theory of Love,12,2019,Thai,7.9,2623
When a Snail Falls in Love,20,2023,Thai,7.8,3262
Till the World Ends,10,2022,Thai,7.1,7825
Happy Michelin Kitchen,32,2012,Taiwanese,7.1,8091
Fai Sin Chua,22,2020,Thai,6.9,8565
Utsukushii Rinjin,10,2011,Japanese,7.5,5659
User Not Found,22,2021,Korean,7.8,3234
Plerng Prang Tian,12,2019,Thai,7.5,5666
Creating Destiny,31,2009,Korean,7.4,6546
Girlfriend Project Day 1,4,2022,Korean,7.8,3180
Twelve Men in a Year,16,2012,Korean,7.0,8176
22 Flower Road,12,2019,Korean,7.6,4601
Unrequited Love,38,2021,Chinese,7.6,5174
Fall in Love with a Scientist,24,2021,Chinese,7.5,5856
The Curse of Saree,14,2022,Thai,7.8,3172
Love Alarm,8,2019,Korean,7.3,7142
Mysterious Personal Shopper,103,2018,Korean,7.2,7466
One Night Morning,8,2022,Japanese,7.8,3366
The Magicians of Love,22,2006,Taiwanese,7.0,8360
The Disappearing Child,12,2022,Chinese,7.9,2830
Designated Love,15,2022,Chinese,7.3,6805
13,4,2020,Japanese,7.4,6541
Anna,6,2022,Korean,7.9,2963
Falling in Love with a Rival,8,2015,Chinese,6.9,8648
Narco-Saints,6,2022,Korean,8.1,1854
Lunch Queen,12,2002,Japanese,7.3,6795
Love Forward,22,2012,Taiwanese,7.0,8392
City Hunter,20,2011,Korean,8.3,908
Joy of Life,46,2019,Chinese,9.0,42
Like,24,2019,Korean,7.8,3607
Wisher,12,2021,Chinese,7.1,7802
No Going Back Romance,10,2020,Korean,7.3,7002
Night Light,20,2016,Korean,7.1,8001
"Ubai Ai, Fuyu",7,2017,Japanese,6.8,8760
See You Tomorrow,12,2022,Chinese,8.1,1604
Kamen Rider Kiva,48,2008,Japanese,7.6,4609
Hi My Sweetheart,14,2009,Taiwanese,7.5,5290
Real:Time:Love Season 2,8,2020,Korean,8.0,2301
A Korean Odyssey,20,2017,Korean,8.2,1249
Cloud Stairs,16,2006,Korean,7.1,7884
Bokura no Yuuki,10,1997,Japanese,7.8,3334
Cutie Pie,12,2022,Thai,7.7,3881
Love Sick,12,2014,Thai,7.6,4955
Hello Debate Opponent,30,2019,Chinese,7.8,3535
Don't Be Shy,12,2022,Chinese,7.2,7451
The Lion's Secret,33,2021,Chinese,7.6,4939
The Love You Give Me,28,2023,Chinese,8.5,558
The Ghost Bride,6,2020,Taiwanese,7.7,4295
Boys on the Run,9,2012,Japanese,7.1,7800
Peng,10,2021,Korean,7.0,8151
All About My Mom,54,2015,Korean,7.9,2685
Love at First Taste,26,2022,Chinese,7.2,7361
"Good Life - Arigatou, Papa. Sayonara",11,2011,Japanese,8.0,1947
M: Ai Subeki Hito ga Ite,7,2020,Japanese,6.9,8553
Deka Wanko,10,2011,Japanese,7.4,6205
Miss S,34,2020,Chinese,8.2,1320
Because of You,14,2010,Taiwanese,7.0,8401
The Flame's Daughter,52,2018,Chinese,7.8,3335
Kounodori Season 2,11,2017,Japanese,8.2,1252
The Light in Your Eyes,12,2019,Korean,8.2,1515
I Have a Lover,50,2015,Korean,7.7,3742
Reborn Rich,16,2022,Korean,8.5,413
Monkey and Dog Romance,10,2018,Korean,7.0,8430
The Knockout,39,2023,Chinese,8.1,1618
Last Scandal,16,2008,Korean,7.4,6015
Yang Di Wei Huan,30,2022,Chinese,7.5,5480
"Nevertheless,",10,2021,Korean,7.4,6009
Angel Heart,9,2015,Japanese,7.4,6525
"Saimdang, Light’s Diary",28,2017,Korean,7.8,3110
Given,6,2021,Japanese,7.4,5963
Vision - Koroshi ga Mieru Onna,12,2012,Japanese,7.1,7922
The Lies Within,16,2019,Korean,7.9,2507
Emperor or Boss,18,2021,Chinese,7.6,5165
Hare-kon,9,2022,Japanese,6.9,8622
Swords of Legends,52,2014,Chinese,7.8,3101
Bargain,6,2022,Korean,7.3,6829
Walk Into Your Memory,24,2019,Chinese,7.8,3254
Love @ Seventeen,15,2016,Taiwanese,7.5,5811
Money Game,16,2020,Korean,7.9,2690
Asunaro Hakusho,11,1993,Japanese,7.3,7022
Nihonjin no Shiranai Nihongo,12,2010,Japanese,7.1,7904
Watashi no Kirai na Tantei,8,2014,Japanese,7.2,7275
Orange Marmalade,12,2015,Korean,6.8,8771
Yama Onna Kabe Onna,12,2007,Japanese,7.2,7785
My Fated Boy,29,2021,Chinese,8.3,935
King Geun Cho Go,60,2010,Korean,7.6,4734
Be My Princess,30,2022,Chinese,7.8,3016
Blossom in Heart,52,2019,Chinese,7.4,5941
Ever Night,60,2018,Chinese,8.4,713
Secret Door,24,2014,Korean,7.7,4040
Kahogo no Kahoko,10,2017,Japanese,8.0,2014
Love Actually,42,2017,Chinese,7.3,6769
Lovers in Paris,20,2004,Korean,7.3,6692
Take Five - Oretachi wa Ai wo Nusumeru ka,10,2013,Japanese,7.7,4107
Super Rich,11,2021,Japanese,7.2,7665
Dive,30,2019,Chinese,7.8,3599
You're My Destiny,17,2017,Thai,7.8,3013
The Man from the Future,10,2017,Taiwanese,7.3,7111
Woof & Meow – Do you Love Me?,10,2022,Korean,7.4,6028
Vacation of Love,35,2021,Chinese,7.5,5898
Golden Bride,64,2007,Korean,7.4,6040
Ishi no Mayu,5,2015,Japanese,7.9,2723
Shining Inheritance,28,2009,Korean,7.9,2869
Fall in Love,30,2019,Chinese,7.9,2414
Thumping Spike,20,2016,Korean,7.7,3847
Reply 1988,20,2015,Korean,9.1,32
Mr. Insomnia Waiting for Love,24,2023,Chinese,7.5,5859
The Only Girl You Haven't Seen,18,2022,Chinese,7.9,2736
Day Breaker,24,2022,Chinese,7.8,3041
The Stranded,7,2019,Thai,7.8,3342
Swallow the Sun,25,2009,Korean,7.6,5065
Kaguya-sama: Love Is War - Mini,5,2021,Japanese,7.5,5227
Signal: Choki Mikaiketsu Jiken Sosahan,10,2018,Japanese,8.1,1831
Mystery to Iunakare,12,2022,Japanese,8.7,253
Peek Hong,15,2020,Thai,6.9,8488
Shichinin no Hisho,8,2020,Japanese,7.7,3755
Ai Long Nhai,12,2022,Thai,7.2,7651
Prince William,14,2014,Taiwanese,7.2,7787
Jungle Fish 2,8,2010,Korean,7.4,6289
Mask Girl,7,2023,Korean,7.8,2998
Let's Go to The Beach,14,2005,Korean,6.8,8759
New Smiling Proud Wanderer,37,2018,Chinese,7.6,4919
Our Times,36,2021,Chinese,8.0,2165
Lost You Forever,39,2023,Chinese,8.7,257
The Best Moment To Quit Your Job,8,2017,Korean,7.6,4643
Takane no Hana-san,12,2021,Japanese,7.2,7345
Minami-kun no Koibito,11,2004,Japanese,7.2,7479
Fabulous 30,12,2017,Thai,7.4,6319
Princess Pearl,24,1998,Chinese,8.3,831
Leh Lub Salub Rarng,10,2017,Thai,7.7,3986
"Healing Food, Healing Love",23,2022,Chinese,7.7,3730
Roy Fun Tawan Duerd,12,2014,Thai,7.7,3688
"Breakup Probation, A Week",10,2021,Korean,7.5,5260
No Time for Love,8,2018,Korean,7.7,4255
The Castellan Belongs to Me,24,2023,Chinese,7.1,8067
War of High School,12,2016,Thai,6.9,8493
Heart to Heart,16,2015,Korean,7.9,2843
Liver or Die,40,2019,Korean,7.6,4894
Ever Night Season 2,43,2020,Chinese,7.7,4110
Be My Boyfriend,15,2021,Korean,7.9,2628
3 Will Be Free,10,2019,Thai,7.9,2569
She Is Nineteen,16,2004,Korean,7.0,8253
Thirty-Nine,12,2022,Korean,8.2,1431
Love in Flames of War,43,2022,Chinese,7.5,5192
Jeon Woo Chi,24,2012,Korean,7.0,8187
Nitiman,10,2021,Thai,7.2,7524
To My Beautiful Woo Ri,3,2019,Korean,7.5,5613
Massaya,17,2017,Thai,7.7,4123
Romantic Princess,13,2007,Taiwanese,7.0,8281
Star of Ocean,40,2021,Chinese,7.4,6324
Please Be My Family,30,2023,Chinese,8.1,1632
New Horizon,47,2021,Chinese,7.4,6580
Gomenne Seishun!,10,2014,Japanese,8.0,2161
The Great Show,16,2019,Korean,7.8,3448
Maou,11,2008,Japanese,8.3,1001
Two Fathers,73,2013,Taiwanese,7.7,3925
"Fujoshi, Ukkari Gei ni Kokuru",8,2019,Japanese,7.8,3248
Remote,10,2002,Japanese,7.4,6375
Disarming Romance,3,2022,Korean,7.3,6684
Fake Couple,10,2015,Japanese,7.3,6683
Chicago Typewriter,16,2017,Korean,8.7,271
The Time We Were Not in Love,16,2015,Korean,7.4,6010
My Name,8,2021,Korean,8.7,235
Why You… Y Me?,10,2022,Thai,7.7,4302
Tale of the Nine-Tailed 1938,12,2023,Korean,8.9,105
Untouchable,9,2009,Japanese,7.4,6421
Ngao Asoke,19,2016,Thai,7.7,3880
"Seo Yeong, My Daughter",50,2012,Korean,8.0,2308
