Name,Episodes,Released Year,Language,Rating,Ranking
Girl2K,10,2021,Thai,7.7,4164
Please Love Me,24,2022,Chinese,7.2,7502
Nibiiro no Hako no Naka de,6,2020,Japanese,6.8,8671
Love Like the Galaxy: Part 1,27,2022,Chinese,9.0,50
The Eclipse,12,2022,Thai,8.3,1083
An Ancient Love Song,14,2023,Chinese,8.2,1172
Miss Monte-Cristo,100,2021,Korean,6.9,8562
Rookie Cops,16,2022,Korean,8.3,970
Can I Hug You Tonight?,12,2018,Japanese,6.8,8727
The Empress of China,96,2014,Chinese,8.0,2088
"Aishite tatte, Himitsu wa Aru",10,2017,Japanese,7.8,3614
Return of the Condor Heroes,41,2006,Chinese,8.0,2289
The Love Lasts Two Minds,36,2020,Chinese,7.7,3763
Shoutai,4,2022,Japanese,7.8,3107
Akihabara@DEEP,11,2006,Japanese,7.0,8299
Emperor of the Sea,51,2004,Korean,7.7,3677
Devil-in-Law,17,2023,Thai,7.4,6184
Prodigy Healer,36,2019,Chinese,7.4,6613
Vampire Prosecutor 2,11,2012,Korean,8.3,901
Hidarikiki no Eren,10,2019,Japanese,7.4,6240
Stand by Me,20,2023,Chinese,7.5,5305
Yamato Nadeshiko Shichi Henge,10,2010,Japanese,7.7,3983
Unusual Idol Love,24,2021,Chinese,7.6,5105
Queenmaker,11,2023,Korean,8.2,1184
Meet With Two Souls,20,2023,Chinese,7.0,8207
School 2017,16,2017,Korean,8.2,1500
Negotiator,43,2018,Chinese,7.4,6348
Hotaru no Hikari,10,2007,Japanese,7.6,4462
Bad Buddy,12,2021,Thai,8.4,636
Medical Top Team,20,2013,Korean,7.2,7775
Wish Woosh Season 2,10,2019,Korean,7.5,5439
No Matter What,120,2020,Korean,7.4,6584
Keizoku,11,1999,Japanese,7.7,4009
Fake Princess,27,2020,Chinese,8.0,2342
Here's My Plan,4,2021,Korean,8.0,2107
Heartbeat Love,5,2012,Taiwanese,7.5,5576
"Uchi no Musume wa, Kareshi ga Dekinai!!",10,2021,Japanese,8.1,1811
Fated to Love You,20,2014,Korean,8.1,1542
Falling Into You,13,2020,Taiwanese,7.7,3655
A Man Called God,24,2010,Korean,7.3,7136
Prince of Legend,10,2018,Japanese,7.3,6771
Lying Heart,26,2017,Thai,7.7,4324
"Yameru Toki mo, Sukoyaka Naru Toki mo",10,2020,Japanese,7.5,5303
Vampire Detective,12,2016,Korean,7.4,6007
MIU 404,11,2020,Japanese,8.5,423
Q.E.D.,10,2009,Japanese,7.2,7564
Taste of Cat,4,2018,Korean,7.5,5200
Moon Lovers: Scarlet Heart Ryeo,20,2016,Korean,8.7,219
"It's Okay, That's Friendship",1,2021,Korean,8.5,557
Uncle,16,2021,Korean,8.1,1539
Densha Otoko,11,2005,Japanese,7.5,5433
Irresistible,22,2021,Thai,7.3,7051
Heart of Loyalty,24,2021,Chinese,7.8,3162
Happiness,12,2021,Korean,8.9,87
Panda and Hedgehog,16,2012,Korean,7.1,7804
Hoshi Kara Kita Anata,10,2022,Japanese,7.4,6524
The Female Friend Among Guys,5,2020,Korean,7.0,8422
Here We Meet Again,32,2023,Chinese,8.3,978
Delivery Man,12,2023,Korean,7.8,3072
Love (ft. Marriage and Divorce) Season 3,16,2022,Korean,6.9,8586
God of Lost Fantasy,52,2020,Chinese,7.4,6307
Light Chaser Rescue,40,2022,Chinese,7.9,2660
Mondai no Aru Restaurant,10,2015,Japanese,8.2,1404
Love Syndrome III: Uncut Version,12,2023,Thai,7.2,7338
"Hur Jun, the Original Story",135,2013,Korean,7.9,2879
My Ride,10,2022,Thai,7.7,3982
Gu Family Book,24,2013,Korean,8.3,975
Miss Gu Who Is Silent,20,2020,Chinese,7.9,2648
Senior Secret Love: Bake Me Love,6,2016,Thai,7.6,4789
A Love to Kill,16,2005,Korean,7.3,6867
Koko wa Greenwood,13,2008,Japanese,6.8,8743
The Young Warriors,43,2006,Chinese,7.8,3287
Phupha | Nanfah,2,2022,Thai,7.8,3432
Paragit Likhit Huajai,16,2017,Thai,7.6,5154
The Night of the Comet Season 2,20,2020,Chinese,7.8,3128
Douse Mou Nigerarenai,9,2021,Japanese,7.1,7872
Golden Garden,60,2019,Korean,7.4,6446
Glory of Special Forces,45,2022,Chinese,8.6,308
Kikai Sentai Zenkaiger,49,2021,Japanese,7.8,3389
35 sai no Koukousei,11,2013,Japanese,7.9,2661
Kenja no Ai,4,2016,Japanese,7.5,5653
Melting Me Softly,16,2019,Korean,7.6,4563
Your House Helper,32,2018,Korean,7.8,3202
Ichikei no Karasu,11,2021,Japanese,8.0,2197
The Cupids Series: Kamathep Prab Marn,9,2017,Thai,7.4,6221
Club Friday Season 5: Secret of a Heart That Doesn't Exist,4,2015,Thai,7.1,7812
Buang Banjathorn,10,2017,Thai,7.7,4361
Mysterious Love,16,2021,Chinese,8.0,1972
Little Girl K,3,2011,Korean,7.6,4487
Befriend,24,2018,Taiwanese,7.3,6910
Anna: Extended Version,8,2022,Korean,8.0,2087
Cubic,16,2014,Thai,7.4,6258
Gumiho: Tale of the Fox's Child,16,2010,Korean,7.5,5793
Led Astray by Love,24,2022,Chinese,7.5,5318
Roommates of Poongduck 304,8,2022,Korean,7.9,2912
