actor_id,actor_name,drama_name,character_name,role
2721d627-1e9a-4397-8984-f8d476f60f19,Duangta Toongkamanee,Khun Mae Suam Roy,Pawinee Sutharak,Support Role
2721d627-1e9a-4397-8984-f8d476f60f19,Duangta Toongkamanee,You're My Destiny,Patchanee [Pawut's grandmother],Support Role
2721d627-1e9a-4397-8984-f8d476f60f19,Duangta Toongkamanee,Massaya,Tan Pooying Rattanamahasarn [ Lek's grandmother] ,Support Role
2721d627-1e9a-4397-8984-f8d476f60f19,Duangta Toongkamanee,Roi Pa Wai Duay Rak,Puang,Support Role
2721d627-1e9a-4397-8984-f8d476f60f19,Duangta Toongkamanee,Por Krua Hua Pa,Thongmuan,Support Role
b1aa4445-37d6-42f0-91e5-2d3c6886041d,Sui Pornnapa Thepthinnakorn,Lucky Swan,Photjani [Emmika's mother],Support Role
b1aa4445-37d6-42f0-91e5-2d3c6886041d,Sui Pornnapa Thepthinnakorn,Suparburoot Chao Din,Sudawan Sirisenee,Support Role
78647b54-6fea-4fd1-9127-8863475a83fc,Zubom Phiphat Wichasu,Boyband,Top,Main Role
f28455e6-7866-461e-8459-db1110f674e6,Jaymin Theerachet Yanwantana,Boyband,Juju,Main Role
f28455e6-7866-461e-8459-db1110f674e6,Jaymin Theerachet Yanwantana,Brothers,Khao,Support Role
0ca1b8cd-ba6d-416a-9194-13c6530bc771,Lukkade Metinee Kingpayome,Boyband,Serena,Main Role
0ca1b8cd-ba6d-416a-9194-13c6530bc771,Lukkade Metinee Kingpayome,My Sassy Princess: Cinderella,Phraofah,Support Role
0ca1b8cd-ba6d-416a-9194-13c6530bc771,Lukkade Metinee Kingpayome,Bad Romeo,Asia Raman [Kaokla's mother],Support Role
0ca1b8cd-ba6d-416a-9194-13c6530bc771,Lukkade Metinee Kingpayome,The War of Flowers,"""Tawan"" / Thantawan Bussababan",Main Role
0ca1b8cd-ba6d-416a-9194-13c6530bc771,Lukkade Metinee Kingpayome,Songkram Nak Pun Season 2,Elle,Main Role
0ca1b8cd-ba6d-416a-9194-13c6530bc771,Lukkade Metinee Kingpayome,Strange Girl in a Strange Land,Winnie,Support Role
0ca1b8cd-ba6d-416a-9194-13c6530bc771,Lukkade Metinee Kingpayome,Songkram Nak Pun,Elle,Main Role
0ca1b8cd-ba6d-416a-9194-13c6530bc771,Lukkade Metinee Kingpayome,Songkram Nang Ngarm Season 2,"Natsarin Rawi / ""Nat""",Main Role
6c5fd364-fcb3-451e-91da-07a39770d20d,Nino Maethanee Buranasiri,Boyband,Phanu,Main Role
6c5fd364-fcb3-451e-91da-07a39770d20d,Nino Maethanee Buranasiri,Sathorn Don Chedi,Mongkhol,Main Role
5c784517-4996-44f3-b3aa-42e4ae95ba8e,Pu Anon Saisangcharn,Boyband,Madame Pauly,Main Role
942d62a1-e684-498c-b808-d9abd9ccc8e3,Intouch Intouch Kooramasuwan,Boyband,Ken,Support Role
94583a88-f83e-49b1-8a88-83c008428435,Indy Intad Leowrakwong,The Demon,"""Sun"" Burathat Phetchamekha",Main Role
94583a88-f83e-49b1-8a88-83c008428435,Indy Intad Leowrakwong,Music and Krasue,Khaen / Choed,Main Role
94583a88-f83e-49b1-8a88-83c008428435,Indy Intad Leowrakwong,Soot Lay Sanaeha,"Anawat / ""Wine""",Main Role
94583a88-f83e-49b1-8a88-83c008428435,Indy Intad Leowrakwong,Her Desire,Suban,Main Role
